User_ID,Age,Gender,City_Tier,City_Name,Occupation,Monthly_Income_INR,Rent_Housing_INR,Food_Groceries_INR,Utilities_Bills_INR,Healthcare_INR,Education_Childcare_INR,Entertainment_Dining_INR,Shopping_Lifestyle_INR,Investment_INR,Discretionary_Spending_INR,Essential_Spending_INR,Total_Monthly_Expenses_INR,Monthly_Savings_INR,Savings_Rate_Pct,Discretionary_Ratio_Pct,Financial_Resilience_Score,Emergency_Fund_Months
IN_USR_00014,43,Male,Tier 1,Mumbai,Teacher/Professor,68500,16500,9200,4000,3800,3000,6100,5000,9000,11100,36500,47600,20900,30.5,23.3,59,5.8
IN_USR_00015,56,Male,Tier 3,Salem,Financial Analyst,92000,13000,12600,5200,2100,5800,9100,4000,25500,13100,38700,51800,40200,43.7,25.3,76,8.3
IN_USR_00016,49,Female,Tier 1,Delhi-NCR,Marketing Manager,60500,18000,9800,4200,1300,4500,4200,4400,6500,8600,37800,46400,14100,23.3,18.5,52,5.1
IN_USR_00017,27,Male,Tier 1,Bangalore,Small Business Owner,128500,35000,25000,8100,5500,200,5800,8100,23000,13900,73800,87700,40800,31.8,15.8,55,3.6
IN_USR_00018,38,Male,Tier 2,Kochi,Marketing Manager,80000,15000,13800,4200,2600,6800,3500,4200,21000,7700,42400,50100,29900,37.4,15.4,83,9.8
IN_USR_00019,26,Male,Tier 2,Chandigarh,Civil Engineer,92500,14500,13000,4800,3500,1500,5400,7300,27500,12700,37300,50000,42500,45.9,25.4,82,10.0
IN_USR_00020,57,Female,Tier 3,Mysore,Financial Analyst,76000,8500,9800,4700,2300,5800,6300,3100,21000,9400,31100,40500,35500,46.7,23.2,71,6.7
IN_USR_00021,53,Female,Tier 3,Mysore,Data Analyst,113000,15000,16000,4500,5700,8800,6300,7600,28000,13900,50000,63900,49100,43.5,21.8,75,7.6
IN_USR_00022,22,Male,Tier 1,Chennai,Financial Analyst,145500,32500,21800,9000,5400,200,9000,11200,39000,20200,68900,89100,56400,38.8,22.7,55,2.8
IN_USR_00023,44,Male,Tier 2,Coimbatore,Data Analyst,96500,22000,18400,5400,4300,4800,9200,7100,17500,16300,54900,71200,25300,26.2,22.9,54,5.5
IN_USR_00024,48,Male,Tier 1,Delhi-NCR,Healthcare Worker,83500,21500,15200,3700,4600,7600,4500,5900,11000,10400,52600,63000,20500,24.6,16.5,44,2.5
IN_USR_00025,36,Male,Tier 1,Mumbai,Healthcare Worker,95500,24500,12000,6800,3300,6700,7700,6900,14000,14600,53300,67900,27600,28.9,21.5,43,1.7
IN_USR_00026,38,Male,Tier 2,Kochi,Software Engineer,103500,21500,15200,7400,3900,10300,4900,7800,15000,12700,58300,71000,32500,31.4,17.9,47,1.9
IN_USR_00027,49,Male,Tier 2,Indore,Small Business Owner,238500,58000,42600,11400,8900,23100,22700,14600,34500,37300,144000,181300,57200,24.0,20.6,39,1.7
IN_USR_00028,41,Female,Tier 2,Kochi,Healthcare Worker,79000,16000,10600,5300,2800,6700,4000,4600,15000,8600,41400,50000,29000,36.7,17.2,77,8.5
IN_USR_00029,41,Female,Tier 1,Pune,Freelancer/Consultant,149000,42000,23200,7200,5800,14000,13100,5700,16000,18800,92200,111000,38000,25.5,16.9,49,3.6
IN_USR_00030,43,Male,Tier 2,Chandigarh,Small Business Owner,131500,22500,17800,5400,3900,9000,12000,4400,29500,16400,58600,75000,56500,43.0,21.9,82,9.6
IN_USR_00031,34,Female,Tier 1,Mumbai,Financial Analyst,162000,50000,31000,12100,9000,14000,8600,11400,16000,20000,116100,136100,25900,16.0,14.7,35,1.8
IN_USR_00032,57,Male,Tier 3,Mysore,Sales Consultant,44500,7500,7800,3500,1900,4300,4200,2700,8000,6900,25000,31900,12600,28.3,21.6,52,4.3
IN_USR_00033,57,Female,Tier 3,Nagpur,Sales Consultant,80000,9500,11200,5200,4100,5700,6200,3500,14500,9700,35700,45400,34600,43.2,21.4,69,6.0
IN_USR_00034,39,Female,Tier 1,Pune,Data Analyst,78500,19000,11800,3600,2200,5100,4700,4200,11500,8900,41700,50600,27900,35.5,17.6,74,8.1
IN_USR_00035,46,Male,Tier 3,Dehradun,Healthcare Worker,87000,8500,12800,6100,4700,8500,5700,5900,19500,11600,40600,52200,34800,40.0,22.2,77,8.3
IN_USR_00036,36,Female,Tier 1,Hyderabad,Sales Consultant,44500,12000,7800,3200,2200,4000,4200,3500,4500,7700,29200,36900,7600,17.1,20.9,39,3.4
IN_USR_00037,58,Male,Tier 1,Hyderabad,Financial Analyst,133000,32500,18800,7100,5100,8000,12300,5800,29500,18100,71500,89600,43400,32.6,20.2,58,4.6
IN_USR_00038,27,Female,Tier 1,Pune,Software Engineer,192000,48000,24000,15000,4100,200,10500,13800,45000,24300,91300,115600,76400,39.8,21.0,64,4.7
IN_USR_00039,52,Male,Tier 2,Chandigarh,Sales Consultant,68500,15500,9200,4400,3400,3200,6100,5400,9000,11500,35700,47200,21300,31.1,24.4,45,2.0
IN_USR_00040,41,Female,Tier 1,Chennai,Marketing Manager,63000,18500,11800,3100,3000,3700,5100,4400,8500,9500,40100,49600,13400,21.3,19.2,43,3.1
IN_USR_00041,24,Female,Tier 2,Coimbatore,Civil Engineer,39500,8000,5800,2900,2100,100,3900,2400,9500,6300,18900,25200,14300,36.2,25.0,72,8.2
IN_USR_00042,49,Male,Tier 2,Coimbatore,Operations Executive,75500,17500,12400,4500,2800,6300,4200,5500,14500,9700,43500,53200,22300,29.5,18.2,46,2.0
IN_USR_00043,50,Male,Tier 2,Indore,Freelancer/Consultant,144500,26500,23000,7700,5700,8900,8000,6400,33500,14400,71800,86200,58300,40.3,16.7,87,10.3
IN_USR_00044,57,Male,Tier 2,Chandigarh,Data Analyst,81500,18000,13000,5700,3900,6400,5700,5700,10000,11400,47000,58400,23100,28.3,19.5,47,2.7
IN_USR_00045,37,Female,Tier 2,Kochi,Sales Consultant,104500,19500,20800,6500,3600,7000,6100,4300,22500,10400,57400,67800,36700,35.1,15.3,60,4.1
IN_USR_00046,56,Male,Tier 1,Chennai,Sales Consultant,82000,26000,16200,5000,2600,3800,4200,3400,9500,7600,53600,61200,20800,25.4,12.4,42,1.2
IN_USR_00047,56,Male,Tier 1,Bangalore,Teacher/Professor,56500,17500,7400,4200,2200,5200,4200,3000,7000,7200,36500,43700,12800,22.7,16.5,40,1.8
IN_USR_00048,25,Female,Tier 3,Warangal,Data Analyst,50000,6500,6200,3300,1100,200,3700,2300,18500,6000,17300,23300,26700,53.4,25.8,69,6.6
IN_USR_00049,48,Male,Tier 2,Ahmedabad,Sales Consultant,93000,16500,15600,5300,4000,4100,9100,3300,22000,12400,45500,57900,35100,37.7,21.4,73,7.6
IN_USR_00050,38,Male,Tier 1,Mumbai,Teacher/Professor,40000,9500,6200,2700,1600,1700,2300,1800,9500,4100,21700,25800,14200,35.5,15.9,54,2.5
IN_USR_00051,36,Female,Tier 2,Coimbatore,Freelancer/Consultant,97000,18500,15800,6400,5500,8700,4300,3700,17000,8000,54900,62900,34100,35.2,12.7,72,7.0
IN_USR_00052,58,Female,Tier 1,Hyderabad,Operations Executive,93000,25500,13200,5700,3500,7100,8700,6200,13500,14900,55000,69900,23100,24.8,21.3,38,1.4
IN_USR_00053,36,Male,Tier 3,Nagpur,Operations Executive,62000,6500,11200,3600,2900,5900,3200,3700,15000,6900,30100,37000,25000,40.3,18.6,74,7.0
IN_USR_00054,27,Female,Tier 1,Delhi-NCR,Civil Engineer,91000,21500,12000,5100,3600,1800,5800,6200,14500,12000,44000,56000,35000,38.5,21.4,57,3.2
IN_USR_00055,38,Female,Tier 1,Hyderabad,Teacher/Professor,96500,33500,16600,6000,3500,4900,6000,6500,11500,12500,64500,77000,19500,20.2,16.2,44,3.4
IN_USR_00056,35,Female,Tier 2,Kochi,Sales Consultant,98500,16000,19400,6300,2900,4900,7200,5700,15500,12900,49500,62400,36100,36.6,20.7,82,10.1
IN_USR_00057,29,Female,Tier 3,Nagpur,Financial Analyst,102500,18000,14600,7000,3800,1500,7000,5400,20000,12400,44900,57300,45200,44.1,21.6,65,5.1
IN_USR_00058,54,Male,Tier 3,Trichy,Healthcare Worker,72000,12500,11600,5200,2300,4200,5400,5800,13500,11200,35800,47000,25000,34.7,23.8,53,3.2
IN_USR_00059,56,Female,Tier 1,Pune,Teacher/Professor,63000,17500,9200,3000,3000,4700,3400,4300,7500,7700,37400,45100,17900,28.4,17.1,58,5.4
IN_USR_00060,46,Female,Tier 3,Nagpur,Financial Analyst,102000,18000,13200,8000,3400,4700,9300,3600,28000,12900,47300,60200,41800,41.0,21.4,57,2.8
IN_USR_00061,31,Female,Tier 3,Salem,Data Analyst,95000,15500,13400,6200,3400,4300,5700,6100,22500,11800,42800,54600,40400,42.5,21.6,91,12.7
IN_USR_00062,53,Male,Tier 2,Chandigarh,Small Business Owner,229500,55500,45800,16000,8600,10500,17900,16900,31000,34800,136400,171200,58300,25.4,20.3,51,4.5
IN_USR_00063,23,Male,Tier 1,Bangalore,Operations Executive,67500,18000,8800,4100,2900,1600,3400,2300,17500,5700,35400,41100,26400,39.1,13.9,76,7.3
IN_USR_00064,37,Female,Tier 3,Salem,Marketing Manager,89500,13500,14000,6000,5000,6100,5100,5100,14500,10200,44600,54800,34700,38.8,18.6,86,10.4
IN_USR_00065,41,Female,Tier 2,Ahmedabad,Operations Executive,48000,12000,9000,2100,1700,3000,2800,3100,6000,5900,27800,33700,14300,29.8,17.5,62,6.2
IN_USR_00066,47,Female,Tier 1,Chennai,Software Engineer,236000,77500,45400,16800,6900,20800,12500,9300,22000,21800,167400,189200,46800,19.8,11.5,45,3.2
IN_USR_00067,30,Male,Tier 3,Nagpur,Software Engineer,132500,21500,16200,7200,3300,3600,7900,6700,30500,14600,51800,66400,66100,49.9,22.0,91,14.9
IN_USR_00068,45,Female,Tier 2,Kochi,Sales Consultant,73500,16500,10800,3300,4300,3600,7200,5400,14000,12600,38500,51100,22400,30.5,24.7,67,8.0
IN_USR_00069,57,Female,Tier 1,Hyderabad,Software Engineer,166000,48000,26000,11100,7800,12500,14800,12800,14500,27600,105400,133000,33000,19.9,20.8,35,1.7
IN_USR_00070,23,Female,Tier 3,Salem,Small Business Owner,56500,8500,8800,3800,2600,200,2400,1800,20000,4200,23900,28100,28400,50.3,14.9,68,5.1
IN_USR_00071,37,Male,Tier 1,Delhi-NCR,Small Business Owner,281500,87500,46000,17900,13800,26200,22300,20200,28000,42500,191400,233900,47600,16.9,18.2,40,3.3
IN_USR_00072,39,Male,Tier 2,Chandigarh,Sales Consultant,93500,23000,17600,4100,4400,6800,9200,4500,12500,13700,55900,69600,23900,25.6,19.7,43,2.2
IN_USR_00073,29,Female,Tier 1,Mumbai,Small Business Owner,250500,74500,30400,17900,7500,900,18500,8400,58000,26900,131200,158100,92400,36.9,17.0,59,3.7
IN_USR_00074,35,Male,Tier 1,Mumbai,Freelancer/Consultant,52500,13500,10400,4200,2200,4600,2400,3800,5000,6200,34900,41100,11400,21.7,15.1,42,2.3
IN_USR_00075,37,Female,Tier 1,Delhi-NCR,Software Engineer,124500,39500,20200,8700,4900,10800,8800,4400,15000,13200,84100,97300,27200,21.8,13.6,50,4.3
IN_USR_00076,24,Female,Tier 1,Bangalore,Software Engineer,230500,76000,35600,10200,11200,3100,21700,10600,27500,32300,136100,168400,62100,26.9,19.2,43,2.0
IN_USR_00077,57,Female,Tier 1,Pune,Teacher/Professor,56500,16000,9600,2500,2700,5200,4500,3900,7500,8400,36000,44400,12100,21.4,18.9,38,1.8
IN_USR_00078,50,Male,Tier 1,Hyderabad,Healthcare Worker,108500,34000,15800,5700,3300,10500,8800,5800,10500,14600,69300,83900,24600,22.7,17.4,38,1.4
IN_USR_00079,49,Male,Tier 2,Kochi,Financial Analyst,128000,20000,25200,8000,6000,8300,11800,9900,20500,21700,67500,89200,38800,30.3,24.3,65,7.5
IN_USR_00080,25,Female,Tier 2,Kochi,Data Analyst,125500,25000,16600,7400,6800,1300,9200,4500,26500,13700,57100,70800,54700,43.6,19.4,67,5.3
IN_USR_00081,49,Male,Tier 2,Coimbatore,Operations Executive,37000,6000,6600,1900,1200,1500,3400,2200,7500,5600,17200,22800,14200,38.4,24.6,58,3.8
IN_USR_00082,23,Male,Tier 2,Chandigarh,Healthcare Worker,95000,18500,12600,5000,3100,2700,7200,7000,17500,14200,41900,56100,38900,40.9,25.3,84,10.5
IN_USR_00083,25,Male,Tier 1,Chennai,Healthcare Worker,119000,35500,18200,5800,4800,1200,5600,7600,23500,13200,65500,78700,40300,33.9,16.8,63,5.4
IN_USR_00084,41,Male,Tier 1,Pune,Software Engineer,88500,22000,17400,6300,4500,5100,4200,4900,13000,9100,55300,64400,24100,27.2,14.1,45,1.9
IN_USR_00085,56,Male,Tier 2,Coimbatore,Civil Engineer,39500,7500,7000,2300,1500,1800,2300,2000,8000,4300,20100,24400,15100,38.2,17.6,75,7.5
IN_USR_00086,40,Male,Tier 1,Delhi-NCR,Financial Analyst,156500,44000,27400,8500,5900,7300,10400,7800,19000,18200,93100,111300,45200,28.9,16.4,62,6.1
IN_USR_00087,43,Male,Tier 1,Mumbai,Data Analyst,134500,40500,21800,6400,6900,8200,13100,8400,13000,21500,83800,105300,29200,21.7,20.4,36,1.4
IN_USR_00088,38,Male,Tier 1,Mumbai,Small Business Owner,80000,19500,14600,4800,4000,6800,5400,6100,10500,11500,49700,61200,18800,23.5,18.8,47,3.8
IN_USR_00089,42,Female,Tier 1,Bangalore,Sales Consultant,107000,32500,19600,6800,3600,4800,7200,3400,15000,10600,67300,77900,29100,27.2,13.6,48,2.7
IN_USR_00090,27,Female,Tier 1,Pune,Software Engineer,222000,75000,36800,10600,9800,3300,21600,11700,34000,33300,135500,168800,53200,24.0,19.7,51,4.8
IN_USR_00091,27,Male,Tier 1,Chennai,Sales Consultant,106500,30500,18000,5800,6000,1200,9200,6800,12000,16000,61500,77500,29000,27.2,20.6,53,4.7
IN_USR_00092,43,Male,Tier 1,Pune,Small Business Owner,174000,44500,31000,11500,9800,16100,10400,10300,18000,20700,112900,133600,40400,23.2,15.5,43,2.5
IN_USR_00093,47,Male,Tier 2,Jaipur,Operations Executive,71500,13500,13200,5200,3300,6400,6000,4600,11000,10600,41600,52200,19300,27.0,20.3,53,4.7
IN_USR_00094,49,Female,Tier 1,Delhi-NCR,Financial Analyst,95500,25500,17400,4600,5700,4700,5500,6600,14000,12100,57900,70000,25500,26.7,17.3,51,3.9
IN_USR_00095,55,Male,Tier 2,Indore,Financial Analyst,133500,25000,17800,9800,6800,11800,6700,6900,25500,13600,71200,84800,48700,36.5,16.0,72,7.1
IN_USR_00096,37,Female,Tier 2,Coimbatore,Sales Consultant,65500,13500,9400,4700,2500,5900,4100,5100,14000,9200,36000,45200,20300,31.0,20.4,56,4.6
IN_USR_00097,40,Female,Tier 2,Ahmedabad,Financial Analyst,81000,18500,10600,4100,3700,7500,5900,2800,18000,8700,44400,53100,27900,34.4,16.4,73,7.8
IN_USR_00098,40,Male,Tier 2,Kochi,Sales Consultant,102500,17000,15800,8000,3000,6900,6200,3200,17500,9400,50700,60100,42400,41.4,15.6,75,7.1
IN_USR_00099,37,Female,Tier 3,Trichy,Marketing Manager,41500,5000,5400,2800,1400,2000,1800,3100,11000,4900,16600,21500,20000,48.2,22.8,91,14.6
IN_USR_00100,52,Female,Tier 2,Jaipur,Software Engineer,142000,24500,18800,11000,6300,9300,12300,5900,23500,18200,69900,88100,53900,38.0,20.7,61,4.3
IN_USR_00101,51,Male,Tier 1,Hyderabad,Freelancer/Consultant,56500,17000,9400,3900,1800,2300,3500,3300,7000,6800,34400,41200,15300,27.1,16.5,54,4.6
IN_USR_00102,55,Female,Tier 1,Pune,Teacher/Professor,72500,23500,11600,3000,4000,3100,4600,3500,12000,8100,45200,53300,19200,26.5,15.2,48,2.9
IN_USR_00103,26,Female,Tier 1,Chennai,Small Business Owner,89000,28500,16000,4700,1900,1500,7900,3400,16000,11300,52600,63900,25100,28.2,17.7,52,3.9
IN_USR_00104,52,Male,Tier 2,Jaipur,Sales Consultant,40000,7000,5000,1900,900,3800,2800,3200,8500,6000,18600,24600,15400,38.5,24.4,62,4.8
IN_USR_00105,34,Female,Tier 1,Bangalore,Small Business Owner,157500,40000,29000,9100,5700,10500,15300,7400,18500,22700,94300,117000,40500,25.7,19.4,52,4.6
IN_USR_00106,45,Female,Tier 2,Coimbatore,Healthcare Worker,50500,9500,10000,2400,1600,2300,3000,2300,10500,5300,25800,31100,19400,38.4,17.0,78,8.2
IN_USR_00107,32,Female,Tier 1,Bangalore,Civil Engineer,86500,30500,12200,6900,5000,3800,6800,4200,11000,11000,58400,69400,17100,19.8,15.9,43,3.1
IN_USR_00108,23,Male,Tier 2,Coimbatore,Sales Consultant,39500,6500,5400,2600,1400,1100,1700,1500,10500,3200,17000,20200,19300,48.9,15.8,79,8.0
IN_USR_00109,50,Male,Tier 2,Indore,Civil Engineer,61000,11000,8600,4800,1300,3100,4300,4600,10000,8900,28800,37700,23300,38.2,23.6,79,9.3
IN_USR_00110,50,Male,Tier 3,Trichy,Sales Consultant,52000,5500,9800,3000,2900,3500,2400,3300,14000,5700,24700,30400,21600,41.5,18.8,69,5.7
IN_USR_00111,44,Male,Tier 2,Kochi,Operations Executive,45500,10000,8800,3000,2400,3200,2200,1800,6000,4000,27400,31400,14100,31.0,12.7,65,6.0
IN_USR_00112,23,Female,Tier 2,Kochi,Sales Consultant,52000,11000,6600,2700,3100,1100,3700,3600,13000,7300,24500,31800,20200,38.8,23.0,56,3.1
IN_USR_00113,42,Male,Tier 1,Chennai,Teacher/Professor,60500,14500,11200,3800,2600,5200,2900,3300,11000,6200,37300,43500,17000,28.1,14.3,59,5.5
IN_USR_00114,55,Male,Tier 1,Mumbai,Civil Engineer,93500,23500,18400,5700,2900,4200,4800,7300,13000,12100,54700,66800,26700,28.6,18.1,56,4.8
IN_USR_00115,56,Male,Tier 2,Chandigarh,Freelancer/Consultant,85500,14500,14600,6500,2900,8200,3600,6300,12500,9900,46700,56600,28900,33.8,17.5,74,8.3
IN_USR_00116,58,Female,Tier 2,Indore,Healthcare Worker,44000,9000,7400,2300,2600,3000,3900,2800,6500,6700,24300,31000,13000,29.5,21.6,45,2.0
IN_USR_00117,25,Male,Tier 1,Hyderabad,Sales Consultant,71000,19000,9400,5300,2300,2100,4300,3500,16000,7800,38100,45900,25100,35.4,17.0,66,5.7
IN_USR_00118,28,Female,Tier 1,Bangalore,Operations Executive,74000,18500,9400,3800,2600,1400,4100,5400,13000,9500,35700,45200,28800,38.9,21.0,66,5.3
IN_USR_00119,58,Female,Tier 1,Mumbai,Sales Consultant,118000,33000,22400,7100,2800,7500,8000,5000,18500,13000,72800,85800,32200,27.3,15.2,44,1.6
IN_USR_00120,40,Female,Tier 2,Coimbatore,Small Business Owner,173500,31000,21000,7700,4400,9700,10700,8700,33000,19400,73800,93200,80300,46.3,20.8,61,3.9
IN_USR_00121,57,Male,Tier 1,Delhi-NCR,Data Analyst,115500,33000,21000,5900,6900,9300,5400,9100,13000,14500,76100,90600,24900,21.6,16.0,47,3.8
IN_USR_00122,43,Female,Tier 2,Chandigarh,Freelancer/Consultant,178500,34000,22000,7400,8700,15800,12700,6700,47500,19400,87900,107300,71200,39.9,18.1,62,3.7
IN_USR_00123,42,Male,Tier 1,Pune,Operations Executive,85000,22500,15800,5200,4100,4900,7600,4100,12500,11700,52500,64200,20800,24.5,18.2,55,5.5
IN_USR_00124,41,Male,Tier 2,Kochi,Small Business Owner,201500,42000,35800,12800,5400,15700,15600,14500,26500,30100,111700,141800,59700,29.6,21.2,58,5.6
IN_USR_00125,24,Male,Tier 1,Hyderabad,Civil Engineer,72000,17500,12600,4100,3700,2000,6700,4800,8500,11500,39900,51400,20600,28.6,22.4,45,2.3
IN_USR_00126,35,Female,Tier 3,Warangal,Teacher/Professor,46500,6000,6200,3600,1600,2800,4000,3100,11500,7100,20200,27300,19200,41.3,26.0,82,10.1
IN_USR_00127,52,Male,Tier 3,Trichy,Teacher/Professor,42000,5000,8400,2200,1300,2200,3500,1900,9000,5400,19100,24500,17500,41.7,22.0,91,12.2
IN_USR_00128,39,Female,Tier 1,Chennai,Teacher/Professor,63000,21000,9600,3400,3200,3100,2700,4900,6500,7600,40300,47900,15100,24.0,15.9,53,4.9
IN_USR_00129,38,Female,Tier 1,Pune,Operations Executive,82500,25500,10800,5300,3600,4500,6600,4700,12500,11300,49700,61000,21500,26.1,18.5,41,1.5
IN_USR_00130,48,Female,Tier 2,Jaipur,Small Business Owner,86000,13000,14200,6600,3100,8300,8000,4600,13000,12600,45200,57800,28200,32.8,21.8,72,8.5
IN_USR_00131,42,Female,Tier 2,Jaipur,Small Business Owner,200500,34500,36000,14800,4300,19100,13000,14400,44000,27400,108700,136100,64400,32.1,20.1,48,2.0
IN_USR_00132,47,Female,Tier 1,Chennai,Operations Executive,43000,9500,7200,1900,2600,2500,4300,2500,7000,6800,23700,30500,12500,29.1,22.3,63,7.0
IN_USR_00133,54,Female,Tier 1,Bangalore,Civil Engineer,52500,16500,9000,3600,1100,3200,3000,3300,6000,6300,33400,39700,12800,24.4,15.9,49,3.7
IN_USR_00134,47,Female,Tier 2,Jaipur,Healthcare Worker,52500,9000,6800,2800,1600,2900,2800,3600,16000,6400,23100,29500,23000,43.8,21.7,70,6.3
IN_USR_00135,58,Male,Tier 1,Delhi-NCR,Marketing Manager,61000,18500,9600,2800,2900,5800,5700,4200,7000,9900,39600,49500,11500,18.9,20.0,39,2.9
IN_USR_00136,40,Female,Tier 2,Chandigarh,Financial Analyst,117500,19500,21200,7500,4300,8600,8000,6700,25000,14700,61100,75800,41700,35.5,19.4,57,3.7
IN_USR_00137,37,Male,Tier 2,Indore,Civil Engineer,40000,9500,5200,2900,2200,2100,2900,1500,9000,4400,21900,26300,13700,34.2,16.7,62,4.9
IN_USR_00138,35,Female,Tier 1,Pune,Sales Consultant,48500,13500,7800,2800,1100,3300,4300,3200,6500,7500,28500,36000,12500,25.8,20.8,54,5.3
IN_USR_00139,35,Male,Tier 1,Delhi-NCR,Data Analyst,139000,48500,27000,5900,8000,5800,9000,9500,16000,18500,95200,113700,25300,18.2,16.3,43,3.7
IN_USR_00140,48,Female,Tier 3,Warangal,Sales Consultant,72000,9500,12600,4800,3000,5700,4400,2800,16500,7200,35600,42800,29200,40.6,16.8,75,7.2
IN_USR_00141,36,Male,Tier 2,Kochi,Sales Consultant,90500,18500,16800,4500,3100,5100,8700,6000,12000,14700,48000,62700,27800,30.7,23.4,63,6.9
IN_USR_00142,48,Male,Tier 1,Bangalore,Data Analyst,147000,33000,24600,10000,3200,12400,9400,6100,22500,15500,83200,98700,48300,32.9,15.7,70,7.3
IN_USR_00143,25,Male,Tier 2,Kochi,Marketing Manager,120500,22000,20200,8100,4000,1100,5900,7600,24000,13500,55400,68900,51600,42.8,19.6,69,5.9
IN_USR_00144,25,Male,Tier 2,Ahmedabad,Teacher/Professor,62500,9500,9200,4100,2200,1000,5100,3200,14000,8300,26000,34300,28200,45.1,24.2,66,5.4
IN_USR_00145,56,Female,Tier 1,Mumbai,Operations Executive,93500,22500,14600,4000,3400,6100,6700,4600,15000,11300,50600,61900,31600,33.8,18.3,58,4.1
IN_USR_00146,27,Female,Tier 2,Jaipur,Teacher/Professor,77500,18000,9600,4300,3400,100,3400,5400,19000,8800,35400,44200,33300,43.0,19.9,84,9.8
IN_USR_00147,35,Female,Tier 1,Delhi-NCR,Operations Executive,41500,10500,5600,2900,2100,3500,3900,2700,6500,6600,24600,31200,10300,24.8,21.2,45,3.1
IN_USR_00148,37,Female,Tier 2,Ahmedabad,Sales Consultant,105000,22500,15200,5700,5800,7100,9300,6900,20500,16200,56300,72500,32500,31.0,22.3,52,3.8
IN_USR_00149,35,Female,Tier 1,Bangalore,Freelancer/Consultant,118500,37500,14400,7400,5100,9900,6800,4700,15500,11500,74300,85800,32700,27.6,13.4,54,4.1
IN_USR_00150,37,Female,Tier 2,Coimbatore,Civil Engineer,52000,12000,8200,3600,2600,3500,4400,2500,6500,6900,29900,36800,15200,29.2,18.8,55,4.6
IN_USR_00151,33,Male,Tier 2,Jaipur,Small Business Owner,62500,14000,9600,4600,1800,5200,2500,3500,11000,6000,35200,41200,21300,34.1,14.6,66,5.9
IN_USR_00152,52,Female,Tier 1,Pune,Teacher/Professor,65500,14500,10600,3300,3900,2700,5800,4200,13000,10000,35000,45000,20500,31.3,22.2,67,7.6
IN_USR_00153,28,Male,Tier 2,Chandigarh,Marketing Manager,126000,25500,23400,6400,4500,1400,8100,7300,34500,15400,61200,76600,49400,39.2,20.1,63,4.4
IN_USR_00154,27,Male,Tier 1,Hyderabad,Healthcare Worker,117500,26500,14200,5500,4700,1500,10200,6800,31500,17000,52400,69400,48100,40.9,24.5,59,3.7
IN_USR_00155,55,Male,Tier 1,Chennai,Freelancer/Consultant,195000,50000,37800,13100,6100,14200,15500,7600,33000,23100,121200,144300,50700,26.0,16.0,41,1.3
